"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"09-Mar-2020","    27031.45","    27091.60","    25923.40","    26462.60","     1058982970","        12182.52"
"11-Mar-2020","    26272.75","    26791.45","    26234.10","    26487.80","      723295485","        10720.97"
"12-Mar-2020","    25175.90","    25223.10","    23536.35","    23971.15","      760576349","        13585.60"
"13-Mar-2020","    22720.75","    25670.75","    21351.70","    25166.45","      783385213","        16247.37"
"16-Mar-2020","    24061.60","    24074.15","    23008.25","    23101.15","      481906496","         9586.40"
"17-Mar-2020","    23348.05","    23449.50","    22002.00","    22155.15","      537689478","        10577.21"
"18-Mar-2020","    22411.85","    22544.05","    20267.95","    20580.20","      875287959","        17440.23"
"19-Mar-2020","    19428.95","    21035.05","    18675.65","    20083.50","      476621914","        12018.94"
"20-Mar-2020","    19898.30","    20924.55","    19265.00","    20317.60","      501768418","        13698.45"
"23-Mar-2020","    18311.30","    18895.65","    16791.05","    16917.65","      307639369","         7807.32"
"24-Mar-2020","    17705.85","    17841.40","    16116.25","    17107.30","      391702593","         9905.90"
"25-Mar-2020","    16759.95","    18740.20","    16635.50","    18481.05","      394556026","         9791.54"
"26-Mar-2020","    18781.85","    20409.35","    18364.50","    19613.90","      482884243","        13335.36"
"27-Mar-2020","    20801.60","    21462.40","    19580.10","    19969.00","      539418047","        14946.08"
"30-Mar-2020","    19254.45","    19716.25","    18668.70","    18782.40","      326991879","         9137.65"
"31-Mar-2020","    19307.65","    19466.30","    18792.40","    19144.00","      309805792","         8241.53"
"01-Apr-2020","    19122.40","    19154.75","    18042.25","    18208.35","      274864724","         7400.87"
"03-Apr-2020","    18325.05","    18326.10","    17143.20","    17249.30","      342530350","         8497.01"
"07-Apr-2020","    18454.55","    19190.55","    17953.75","    19062.50","      435419014","        11758.61"
"08-Apr-2020","    18799.40","    20324.10","    18482.90","    18946.45","      508444556","        13710.09"
"09-Apr-2020","    19553.15","    19988.30","    19166.90","    19913.60","      389986610","        10229.40"
"13-Apr-2020","    19854.90","    19887.05","    19294.00","    19488.00","      288209448","         7634.04"
"15-Apr-2020","    20096.35","    20184.10","    18776.75","    19057.05","      389865463","        11188.39"
"16-Apr-2020","    18957.15","    19520.30","    18703.45","    19400.00","      350278671","        10404.75"
"17-Apr-2020","    20394.75","    20866.55","    19729.30","    20681.45","      475038288","        12586.71"
"20-Apr-2020","    21104.70","    21122.10","    20444.25","    20522.65","      438637821","        11742.64"
"21-Apr-2020","    19812.05","    19891.45","    19247.95","    19409.35","      311922545","         8248.51"
"22-Apr-2020","    19306.95","    19806.35","    19051.95","    19701.85","      349355747","         9091.05"
"23-Apr-2020","    19871.35","    20356.50","    19584.40","    20267.95","      325385187","         8994.59"
"24-Apr-2020","    19697.65","    19950.15","    19515.40","    19586.65","      305735017","         8019.89"
